L.p.,Nr budynku,Numer kondygnacji,Numer punktu obliczeniowego,Wysokość Z n.p.t. [m],Nr lokalu,Rodzaj pomieszczenia - funkcja,Obliczony poziom dźwięku (dB),,Miarodajny poziom dźwięku A hałasu zewnętrznego w dB ,,Opis przegrody,Wymagany wskaźnik oceny izolacyjności akustycznej poszczególnych częsci przegród zewnetrznych właściwej elementu przegrody RA2(dB),,Wymagany wskaźnik izolacyjności akustycznej właściwej elementu przegrody Rw (dB),,UWAGI,,,,,
,,,,,,,,,Zakres wartości poziomu dźwięku w dB,Wymagany wskaźnik oceny wypadkowej izolacyjności  akustycznej przyblizonej RA2 przegrody zewnętrznej (dB),,,,,,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
122,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
123,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
124,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
125,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
126,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
127,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
128,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
129,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
130,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
131,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
132,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
133,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
134,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
135,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
136,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
137,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
138,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
139,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
140,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
141,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
142,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
143,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
144,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
145,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
146,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
147,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
148,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
149,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
150,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
151,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
152,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
153,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
154,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
155,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
156,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
157,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
158,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
159,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
160,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
161,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
162,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
163,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
164,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
165,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
166,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
167,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
168,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
169,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
170,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
171,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
172,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
173,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
174,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
175,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
176,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
177,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
178,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
