L.p.,Nr budynku,Numer kondygnacji,Numer punktu obliczeniowego,Wysokość Z n.p.t. [m],Nr lokalu,Rodzaj pomieszczenia - funkcja,Obliczony poziom dźwięku (dB),,Miarodajny poziom dźwięku A hałasu zewnętrznego w dB ,,Opis przegrody,Wymagany wskaźnik oceny izolacyjności akustycznej poszczególnych częsci przegród zewnetrznych właściwej elementu przegrody RA2(dB),,Wymagany wskaźnik izolacyjności akustycznej właściwej elementu przegrody Rw (dB),,UWAGI,,,,,
,,,,,,,,,Zakres wartości poziomu dźwięku w dB,Wymagany wskaźnik oceny wypadkowej izolacyjności  akustycznej przyblizonej RA2 przegrody zewnętrznej (dB),,,,,,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
46,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
47,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
48,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
49,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
50,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
,,,,,,,pora nocna,#ERROR!,do 35,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
51,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,pora dzienna,#ERROR!,do 45,20,system ścian strukturalnych Ponzio NT152ESG,część pełna,25,część pełna,30,,,#ERROR!,,,
,,,,,,,,,,,,okno,20,okno,25,,,,,,
